taxid	names	taxids
1027371	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae|Gordonia|Gordonia alkanivorans	2|201174|1760|85007|85026|2053|84096
1027633	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Micrococcaceae|Enteractinococcus|Enteractinococcus coprophilus	2|201174|1760|85006|1268|1164863|1027633
1028	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Marivirgaceae|Marivirga|Marivirga sericea	2|976|768503|768507|2762301|869806|1028
1028214	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Leadbetterellaceae|Lacihabitans|Lacihabitans lacunae	2|976|768503|768507|3141702|1649462|1028214
1028307	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella aerogenes	2|1224|1236|91347|543|570|548
102862	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Proteus|Proteus penneri	2|1224|1236|91347|1903414|583|102862
1028742	Bacteria|Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Pontixanthobacter|Pontixanthobacter gangjinensis	2|1224|28211|204457|335929|2792075|1028742
1028743	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Arenibacter|Arenibacter hampyeongensis	2|976|117743|200644|49546|178469|1028743
1028745	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Aestuariibaculum|Aestuariibaculum suncheonense	2|976|117743|200644|49546|1386924|1028745
1028746	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Christiangramia|Christiangramia aestuarii	2|976|117743|200644|49546|292691|1028746
1028752	Bacteria|Pseudomonadota|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella aestuarii	2|1224|1236|135622|267890|22|1028752
1028800	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Rhizobiaceae|Neorhizobium|Neorhizobium galegae	2|1224|28211|356|82115|1525371|399
1029756	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Hyphomicrobiaceae|Hyphomicrobium|Hyphomicrobium nitrativorans	2|1224|28211|356|45401|81|1427356
1030841	Bacteria|Pseudomonadota|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria wadsworthii	2|1224|28216|206351|481|482|607711
1031224	Bacteria|Bacteroidota|Chitinophagia|Chitinophagales|Chitinophagaceae|Chitinophaga|Chitinophaga oryziterrae	2|976|1853228|1853229|563835|79328|1031224
1031537	Bacteria|Planctomycetota|Planctomycetia|Pirellulales|Pirellulaceae|Bremerella|Bremerella cremea	2|203682|203683|2691354|2691357|2714594|1031537
1031538	Bacteria|Pseudomonadota|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Neptunomonas|Neptunomonas concharum	2|1224|1236|135619|135620|75687|1031538
1031539	Bacteria|Bacillota|Bacilli|Caryophanales|Paenibacillaceae|Paenibacillus|Paenibacillus marinisediminis	2|1239|91061|1385|186822|44249|1031539
1031540	Bacteria|Planctomycetota|Planctomycetia|Pirellulales|Pirellulaceae|Novipirellula|Novipirellula rosea	2|203682|203683|2691354|2691357|2795426|1031540
1031541	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Tropicimonas|Tropicimonas sediminicola	2|1224|28211|204455|2854170|599652|1031541
1031542	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter volucris	2|29547|3031852|213849|72294|194|1031542
