accession	ncbi_name	revised_species
GCF_037889375.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889385.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037890135.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037893335.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037893545.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037893695.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037893865.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037895375.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037897415.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897425.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897485.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897495.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037897505.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897515.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897535.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897545.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037897555.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037897565.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037897635.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037897925.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037898185.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037900345.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum
GCF_037900625.1	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum
GCF_037901015.1	Fusobacterium varium	Fusobacterium heteroulcerans
GCF_037904495.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037904575.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037904585.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037904595.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037904605.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037904615.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037904725.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037904935.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037905245.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037905975.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037906325.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037906355.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037906365.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037906395.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037906465.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037907055.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037908355.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037909675.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911025.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911815.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911825.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037911835.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037911845.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911855.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911865.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_037911875.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911885.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911895.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037911905.1	Fusobacterium animalis	Fusobacterium animalis
