dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0400	0.0500	inter_genus	131	131	1.000000	131	1.000000	96.22	96.96	97.81
0.0400	0.0500	same_species	775	775	1.000000	775	1.000000	95.12	96.58	97.44
0.0400	0.0500	same_strain	31	31	1.000000	31	1.000000	97.38	99.87	99.91
0.0500	0.0600	all	4691	4691	1.000000	4691	1.000000	91.96	93.45	94.62
0.0500	0.0600	congeneric	4006	4006	1.000000	4006	1.000000	91.77	93.21	94.28
0.0500	0.0600	inter_genus	110	110	1.000000	110	1.000000	92.46	94.95	96.76
0.0500	0.0600	same_species	562	562	1.000000	562	1.000000	93.93	95.55	97.28
0.0500	0.0600	same_strain	13	13	1.000000	13	1.000000	98.39	99.87	99.89
0.0600	0.0700	all	5712	5712	1.000000	5712	1.000000	89.95	91.59	93.21
0.0600	0.0700	congeneric	5310	5310	1.000000	5310	1.000000	89.88	91.50	93.08
0.0600	0.0700	inter_genus	146	146	1.000000	146	1.000000	90.75	91.70	93.53
0.0600	0.0700	same_species	250	250	1.000000	250	1.000000	91.93	94.76	95.83
0.0600	0.0700	same_strain	6	6	1.000000	6	1.000000	99.80	99.86	99.88
0.0700	0.0800	all	8173	8173	1.000000	8173	1.000000	88.64	90.02	91.86
0.0700	0.0800	congeneric	7822	7822	1.000000	7822	1.000000	88.61	89.99	91.77
0.0700	0.0800	inter_genus	156	156	1.000000	156	1.000000	89.64	90.37	91.75
0.0700	0.0800	same_species	189	189	1.000000	189	1.000000	93.12	94.86	95.58
0.0700	0.0800	same_strain	6	6	1.000000	6	1.000000	99.83	99.88	99.93
0.0800	0.0900	all	9627	9627	1.000000	9627	1.000000	87.48	88.64	90.74
0.0800	0.0900	congeneric	9377	9377	1.000000	9377	1.000000	87.47	88.60	90.71
0.0800	0.0900	inter_genus	150	150	1.000000	150	1.000000	88.18	89.03	90.71
0.0800	0.0900	same_species	96	96	1.000000	96	1.000000	91.03	94.75	95.23
0.0800	0.0900	same_strain	4	4	1.000000	4	1.000000	99.78	99.80	99.86
0.0900	0.1000	all	11050	11050	1.000000	10987	0.994299	86.46	87.71	89.73
0.0900	0.1000	congeneric	10588	10588	1.000000	10525	0.994050	86.52	87.74	89.76
0.0900	0.1000	inter_genus	407	407	1.000000	407	1.000000	84.54	85.05	87.72
0.0900	0.1000	same_species	51	51	1.000000	51	1.000000	91.04	93.36	96.95
