dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.1000	0.1050	same_strain	1	1	1.000000	1	1.000000	89.39	89.39	89.39
0.1050	0.1100	all	7036	7036	1.000000	7011	0.996447	87.53	87.92	88.27
0.1050	0.1100	congeneric	6947	6947	1.000000	6922	0.996401	87.53	87.92	88.27
0.1050	0.1100	inter_genus	83	83	1.000000	83	1.000000	87.38	87.72	88.48
0.1050	0.1100	same_species	6	6	1.000000	6	1.000000	87.55	88.30	88.65
0.1100	0.1150	all	8414	8414	1.000000	8389	0.997029	86.96	87.37	87.75
0.1100	0.1150	congeneric	8223	8223	1.000000	8200	0.997203	86.96	87.37	87.75
0.1100	0.1150	inter_genus	187	187	1.000000	185	0.989305	86.92	87.40	87.76
0.1100	0.1150	same_species	4	4	1.000000	4	1.000000	86.65	86.65	87.23
0.1150	0.1200	all	9392	9392	1.000000	9318	0.992121	86.37	86.76	87.18
0.1150	0.1200	congeneric	9262	9262	1.000000	9191	0.992334	86.38	86.77	87.18
0.1150	0.1200	inter_genus	114	114	1.000000	111	0.973684	85.86	86.38	86.86
0.1150	0.1200	same_species	16	16	1.000000	16	1.000000	86.94	87.28	87.38
0.1200	0.1250	all	10028	10028	1.000000	9862	0.983446	85.75	86.21	86.63
0.1200	0.1250	congeneric	9811	9811	1.000000	9664	0.985017	85.76	86.22	86.63
0.1200	0.1250	inter_genus	214	214	1.000000	195	0.911215	85.35	85.85	86.34
0.1200	0.1250	same_species	3	3	1.000000	3	1.000000	85.35	85.37	85.49
0.1250	0.1300	all	11601	11601	1.000000	11311	0.975002	85.26	85.68	86.07
0.1250	0.1300	congeneric	11401	11401	1.000000	11135	0.976669	85.27	85.68	86.07
0.1250	0.1300	inter_genus	200	200	1.000000	176	0.880000	85.05	85.45	85.95
0.1300	0.1350	all	15335	15335	1.000000	14160	0.923378	84.79	85.17	85.56
0.1300	0.1350	congeneric	15032	15032	1.000000	13916	0.925758	84.79	85.17	85.56
0.1300	0.1350	inter_genus	301	301	1.000000	244	0.810631	84.66	85.14	85.67
0.1300	0.1350	same_species	2	2	1.000000	0	0.000000	84.26	84.33	84.40
0.1350	0.1400	all	22272	22272	1.000000	17137	0.769441	84.39	84.74	85.10
0.1350	0.1400	congeneric	21446	21446	1.000000	16482	0.768535	84.40	84.74	85.11
0.1350	0.1400	inter_genus	826	826	1.000000	655	0.792978	84.22	84.69	84.99
0.1400	0.1450	all	31059	31047	0.999614	14630	0.471039	83.99	84.34	84.70
0.1400	0.1450	congeneric	29820	29816	0.999866	13745	0.460932	84.00	84.35	84.70
0.1400	0.1450	inter_genus	1228	1220	0.993485	874	0.711726	83.77	84.23	84.63
0.1400	0.1450	same_species	11	11	1.000000	11	1.000000	84.68	84.82	84.93
0.1450	0.1500	all	37409	37397	0.999679	9556	0.255447	83.59	83.95	84.32
0.1450	0.1500	congeneric	35821	35819	0.999944	8744	0.244103	83.61	83.96	84.33
0.1450	0.1500	inter_genus	1571	1561	0.993635	795	0.506047	83.14	83.53	83.99
0.1450	0.1500	same_species	17	17	1.000000	17	1.000000	84.35	84.65	84.74
0.1500	0.1550	all	38971	38918	0.998640	6515	0.167176	83.19	83.55	83.94
0.1500	0.1550	congeneric	36682	36673	0.999755	6064	0.165313	83.23	83.58	83.96
0.1500	0.1550	inter_genus	2284	2240	0.980736	449	0.196585	82.68	82.98	83.36
0.1500	0.1550	same_species	5	5	1.000000	2	0.400000	83.17	83.24	84.64
0.1550	0.1600	all	44010	43824	0.995774	3101	0.070461	82.80	83.21	83.58
0.1550	0.1600	congeneric	40055	39999	0.998602	2889	0.072126	82.86	83.25	83.61
0.1550	0.1600	inter_genus	3955	3825	0.967130	212	0.053603	82.25	82.63	83.06
0.1600	0.1650	all	51262	50608	0.987242	873	0.017030	82.36	82.82	83.25
0.1600	0.1650	congeneric	44992	44721	0.993977	827	0.018381	82.45	82.88	83.29
0.1600	0.1650	inter_genus	6270	5887	0.938915	46	0.007337	81.96	82.33	82.72
0.1650	0.1700	all	60848	58133	0.955381	245	0.004026	82.03	82.43	82.85
0.1650	0.1700	congeneric	52174	50561	0.969084	230	0.004408	82.09	82.47	82.90
0.1650	0.1700	inter_genus	8674	7572	0.872954	15	0.001729	81.71	82.09	82.46
0.1700	0.1750	all	81481	70119	0.860556	40	0.000491	81.83	82.16	82.54
0.1700	0.1750	congeneric	67404	58720	0.871165	38	0.000564	81.88	82.20	82.58
0.1700	0.1750	inter_genus	14073	11395	0.809707	2	0.000142	81.61	81.97	82.29
0.1700	0.1750	same_species	4	4	1.000000	0	0.000000	81.73	81.74	81.91
0.1750	0.1800	all	113206	72478	0.640231	8	0.000071	81.65	81.96	82.31
