depth	rep	genomes	intra_pairs	low_edge	high_edge	gap
5	3	98	149	0.0465	0.0536	0.0071
5	4	98	149	0.0462	0.0536	0.0073
5	5	98	149	0.0466	0.0536	0.0070
5	6	98	149	0.0442	0.0536	0.0094
5	7	98	149	0.0489	0.0536	0.0046
5	8	98	149	0.0341	0.0536	0.0195
5	9	98	149	0.0489	0.0536	0.0046
5	10	98	149	0.0473	0.0536	0.0063
5	11	98	149	0.0395	0.0536	0.0141
5	12	98	149	0.0467	0.0536	0.0068
5	13	98	149	0.0465	0.0536	0.0071
5	14	98	149	0.0419	0.0536	0.0117
5	15	98	149	0.0478	0.0536	0.0058
5	16	98	149	0.0470	0.0536	0.0065
5	17	98	149	0.0442	0.0536	0.0094
5	18	98	149	0.0445	0.0536	0.0091
5	19	98	149	0.0466	0.0536	0.0070
5	20	98	149	0.0429	0.0536	0.0106
5	21	98	149	0.0445	0.0536	0.0091
5	22	98	149	0.0471	0.0536	0.0065
5	23	98	149	0.0491	0.0536	0.0044
5	24	98	149	0.0437	0.0536	0.0099
5	25	98	149	0.0491	0.0536	0.0044
5	26	98	149	0.0491	0.0536	0.0045
5	27	98	149	0.0489	0.0536	0.0046
5	28	98	149	0.0466	0.0536	0.0070
5	29	98	149	0.0365	0.0536	0.0171
5	30	98	149	0.0466	0.0536	0.0070
5	31	98	149	0.0445	0.0536	0.0091
5	32	98	149	0.0466	0.0536	0.0070
5	33	98	149	0.0435	0.0536	0.0101
5	34	98	149	0.0475	0.0536	0.0060
5	35	98	149	0.0471	0.0536	0.0065
5	36	98	149	0.0471	0.0536	0.0065
5	37	98	149	0.0491	0.0536	0.0044
5	38	98	149	0.0478	0.0536	0.0058
5	39	98	149	0.0475	0.0536	0.0060
5	40	98	149	0.0489	0.0536	0.0046
5	41	98	149	0.0466	0.0536	0.0070
5	42	98	149	0.0482	0.0536	0.0054
5	43	98	149	0.0450	0.0536	0.0086
5	44	98	149	0.0471	0.0536	0.0065
5	45	98	149	0.0475	0.0536	0.0061
5	46	98	149	0.0463	0.0536	0.0073
5	47	98	149	0.0457	0.0536	0.0078
5	48	98	149	0.0463	0.0536	0.0073
5	49	98	149	0.0478	0.0536	0.0058
7	0	122	281	0.0491	0.0536	0.0045
7	1	122	281	0.0470	0.0536	0.0065
7	2	122	281	0.0463	0.0536	0.0073
7	3	122	281	0.0470	0.0536	0.0065
7	4	122	281	0.0492	0.0536	0.0044
7	5	122	281	0.0492	0.0536	0.0044
7	6	122	281	0.0478	0.0536	0.0058
7	7	122	281	0.0471	0.0536	0.0065
7	8	122	281	0.0475	0.0536	0.0061
7	9	122	281	0.0479	0.0536	0.0057
7	10	122	281	0.0478	0.0536	0.0058
7	11	122	281	0.0470	0.0536	0.0065
7	12	122	281	0.0467	0.0536	0.0068
7	13	122	281	0.0489	0.0536	0.0046
7	14	122	281	0.0491	0.0536	0.0045
7	15	122	281	0.0475	0.0536	0.0061
7	16	122	281	0.0491	0.0536	0.0045
7	17	122	281	0.0491	0.0536	0.0044
7	18	122	281	0.0471	0.0536	0.0065
7	19	122	281	0.0492	0.0536	0.0044
7	20	122	281	0.0491	0.0536	0.0044
7	21	122	281	0.0492	0.0536	0.0044
7	22	122	281	0.0482	0.0536	0.0054
7	23	122	281	0.0479	0.0536	0.0057
7	24	122	281	0.0491	0.0536	0.0044
7	25	122	281	0.0491	0.0536	0.0044
7	26	122	281	0.0453	0.0536	0.0082
7	27	122	281	0.0478	0.0536	0.0058
7	28	122	281	0.0492	0.0536	0.0044
7	29	122	281	0.0491	0.0536	0.0045
7	30	122	281	0.0461	0.0536	0.0075
7	31	122	281	0.0466	0.0536	0.0070
7	32	122	281	0.0466	0.0536	0.0070
7	33	122	281	0.0463	0.0536	0.0073
7	34	122	281	0.0438	0.0536	0.0098
7	35	122	281	0.0466	0.0536	0.0070
7	36	122	281	0.0491	0.0536	0.0045
7	37	122	281	0.0475	0.0536	0.0061
7	38	122	281	0.0466	0.0536	0.0070
7	39	122	281	0.0491	0.0536	0.0044
7	40	122	281	0.0491	0.0536	0.0044
7	41	122	281	0.0467	0.0536	0.0068
7	42	122	281	0.0491	0.0536	0.0044
7	43	122	281	0.0491	0.0536	0.0045
7	44	122	281	0.0465	0.0536	0.0071
7	45	122	281	0.0467	0.0536	0.0068
7	46	122	281	0.0492	0.0536	0.0044
7	47	122	281	0.0492	0.0536	0.0044
7	48	122	281	0.0478	0.0536	0.0058
7	49	122	281	0.0470	0.0536	0.0065
10	0	158	569	0.0479	0.0536	0.0057
10	1	158	569	0.0492	0.0536	0.0044
10	2	158	569	0.0491	0.0536	0.0045
10	3	158	569	0.0492	0.0536	0.0044
10	4	158	569	0.0466	0.0536	0.0070
10	5	158	569	0.0491	0.0536	0.0045
10	6	158	569	0.0491	0.0536	0.0044
10	7	158	569	0.0478	0.0536	0.0058
10	8	158	569	0.0491	0.0536	0.0045
10	9	158	569	0.0466	0.0536	0.0070
10	10	158	569	0.0470	0.0536	0.0065
10	11	158	569	0.0492	0.0536	0.0044
10	12	158	569	0.0478	0.0536	0.0058
10	13	158	569	0.0479	0.0536	0.0057
10	14	158	569	0.0480	0.0536	0.0056
10	15	158	569	0.0492	0.0536	0.0044
10	16	158	569	0.0471	0.0536	0.0065
10	17	158	569	0.0479	0.0536	0.0057
10	18	158	569	0.0479	0.0536	0.0057
10	19	158	569	0.0478	0.0536	0.0058
10	20	158	569	0.0491	0.0536	0.0044
10	21	158	569	0.0492	0.0536	0.0044
10	22	158	569	0.0491	0.0536	0.0044
10	23	158	569	0.0479	0.0536	0.0057
10	24	158	569	0.0492	0.0536	0.0044
10	25	158	569	0.0471	0.0536	0.0065
10	26	158	569	0.0466	0.0536	0.0070
10	27	158	569	0.0478	0.0536	0.0058
10	28	158	569	0.0492	0.0536	0.0044
10	29	158	569	0.0492	0.0536	0.0044
10	30	158	569	0.0478	0.0536	0.0058
10	31	158	569	0.0491	0.0536	0.0045
10	32	158	569	0.0492	0.0536	0.0044
10	33	158	569	0.0479	0.0536	0.0057
10	34	158	569	0.0492	0.0536	0.0044
10	35	158	569	0.0492	0.0536	0.0044
10	36	158	569	0.0491	0.0536	0.0044
10	37	158	569	0.0479	0.0536	0.0057
10	38	158	569	0.0492	0.0536	0.0044
10	39	158	569	0.0492	0.0536	0.0044
10	40	158	569	0.0491	0.0536	0.0044
10	41	158	569	0.0479	0.0536	0.0057
10	42	158	569	0.0489	0.0536	0.0046
10	43	158	569	0.0491	0.0536	0.0045
10	44	158	569	0.0478	0.0536	0.0058
10	45	158	569	0.0475	0.0536	0.0061
10	46	158	569	0.0492	0.0536	0.0044
10	47	158	569	0.0491	0.0536	0.0044
10	48	158	569	0.0492	0.0536	0.0044
10	49	158	569	0.0492	0.0536	0.0044
15	0	207	1151	0.0479	0.0536	0.0057
15	1	207	1151	0.0492	0.0536	0.0044
15	2	207	1151	0.0491	0.0536	0.0044
15	3	207	1151	0.0479	0.0536	0.0057
15	4	207	1151	0.0492	0.0536	0.0044
15	5	207	1151	0.0491	0.0536	0.0045
15	6	207	1151	0.0492	0.0536	0.0044
15	7	207	1151	0.0492	0.0536	0.0044
15	8	207	1151	0.0492	0.0536	0.0044
15	9	207	1151	0.0492	0.0536	0.0044
15	10	207	1151	0.0492	0.0536	0.0044
15	11	207	1151	0.0479	0.0536	0.0057
15	12	207	1151	0.0479	0.0536	0.0057
15	13	207	1151	0.0492	0.0536	0.0044
15	14	207	1151	0.0492	0.0536	0.0044
15	15	207	1151	0.0491	0.0536	0.0044
15	16	207	1151	0.0491	0.0536	0.0044
15	17	207	1151	0.0492	0.0536	0.0044
15	18	207	1151	0.0478	0.0536	0.0058
15	19	207	1151	0.0492	0.0536	0.0044
15	20	207	1151	0.0492	0.0536	0.0044
15	21	207	1151	0.0492	0.0536	0.0044
15	22	207	1151	0.0478	0.0536	0.0058
15	23	207	1151	0.0479	0.0536	0.0057
15	24	207	1151	0.0492	0.0536	0.0044
15	25	207	1151	0.0491	0.0536	0.0044
15	26	207	1151	0.0478	0.0536	0.0058
15	27	207	1151	0.0492	0.0536	0.0044
15	28	207	1151	0.0492	0.0536	0.0044
15	29	207	1151	0.0479	0.0536	0.0057
15	30	207	1151	0.0492	0.0536	0.0044
15	31	207	1151	0.0492	0.0536	0.0044
15	32	207	1151	0.0479	0.0536	0.0057
15	33	207	1151	0.0492	0.0536	0.0044
15	34	207	1151	0.0492	0.0536	0.0044
15	35	207	1151	0.0492	0.0536	0.0044
15	36	207	1151	0.0491	0.0536	0.0044
15	37	207	1151	0.0492	0.0536	0.0044
15	38	207	1151	0.0492	0.0536	0.0044
15	39	207	1151	0.0479	0.0536	0.0057
15	40	207	1151	0.0492	0.0536	0.0044
15	41	207	1151	0.0479	0.0536	0.0057
15	42	207	1151	0.0492	0.0536	0.0044
15	43	207	1151	0.0479	0.0536	0.0057
15	44	207	1151	0.0492	0.0536	0.0044
15	45	207	1151	0.0491	0.0536	0.0044
15	46	207	1151	0.0491	0.0536	0.0044
15	47	207	1151	0.0492	0.0536	0.0044
15	48	207	1151	0.0478	0.0536	0.0058
15	49	207	1151	0.0492	0.0536	0.0044
20	0	243	1758	0.0492	0.0536	0.0044
20	1	243	1758	0.0492	0.0536	0.0044
20	2	243	1758	0.0492	0.0536	0.0044
20	3	243	1758	0.0492	0.0536	0.0044
20	4	243	1758	0.0492	0.0536	0.0044
20	5	243	1758	0.0492	0.0536	0.0044
20	6	243	1758	0.0492	0.0536	0.0044
20	7	243	1758	0.0492	0.0536	0.0044
20	8	243	1758	0.0492	0.0536	0.0044
20	9	243	1758	0.0492	0.0536	0.0044
20	10	243	1758	0.0492	0.0536	0.0044
20	11	243	1758	0.0492	0.0536	0.0044
20	12	243	1758	0.0492	0.0536	0.0044
20	13	243	1758	0.0492	0.0536	0.0044
20	14	243	1758	0.0492	0.0536	0.0044
20	15	243	1758	0.0492	0.0536	0.0044
20	16	243	1758	0.0492	0.0536	0.0044
20	17	243	1758	0.0492	0.0536	0.0044
20	18	243	1758	0.0492	0.0536	0.0044
20	19	243	1758	0.0492	0.0536	0.0044
20	20	243	1758	0.0492	0.0536	0.0044
20	21	243	1758	0.0492	0.0536	0.0044
20	22	243	1758	0.0492	0.0536	0.0044
20	23	243	1758	0.0492	0.0536	0.0044
20	24	243	1758	0.0492	0.0536	0.0044
20	25	243	1758	0.0492	0.0536	0.0044
20	26	243	1758	0.0492	0.0536	0.0044
20	27	243	1758	0.0492	0.0536	0.0044
20	28	243	1758	0.0492	0.0536	0.0044
20	29	243	1758	0.0492	0.0536	0.0044
20	30	243	1758	0.0492	0.0536	0.0044
20	31	243	1758	0.0492	0.0536	0.0044
20	32	243	1758	0.0492	0.0536	0.0044
20	33	243	1758	0.0492	0.0536	0.0044
20	34	243	1758	0.0492	0.0536	0.0044
20	35	243	1758	0.0492	0.0536	0.0044
20	36	243	1758	0.0492	0.0536	0.0044
20	37	243	1758	0.0492	0.0536	0.0044
20	38	243	1758	0.0492	0.0536	0.0044
20	39	243	1758	0.0492	0.0536	0.0044
20	40	243	1758	0.0492	0.0536	0.0044
20	41	243	1758	0.0492	0.0536	0.0044
20	42	243	1758	0.0492	0.0536	0.0044
20	43	243	1758	0.0492	0.0536	0.0044
20	44	243	1758	0.0492	0.0536	0.0044
20	45	243	1758	0.0492	0.0536	0.0044
20	46	243	1758	0.0492	0.0536	0.0044
20	47	243	1758	0.0492	0.0536	0.0044
20	48	243	1758	0.0492	0.0536	0.0044
20	49	243	1758	0.0492	0.0536	0.0044
30	0	303	3228	0.0492	0.0536	0.0044
30	1	303	3228	0.0492	0.0536	0.0044
30	2	303	3228	0.0492	0.0536	0.0044
30	3	303	3228	0.0492	0.0536	0.0044
30	4	303	3228	0.0492	0.0536	0.0044
30	5	303	3228	0.0492	0.0536	0.0044
30	6	303	3228	0.0492	0.0536	0.0044
30	7	303	3228	0.0492	0.0536	0.0044
30	8	303	3228	0.0492	0.0536	0.0044
30	9	303	3228	0.0492	0.0536	0.0044
30	10	303	3228	0.0492	0.0536	0.0044
30	11	303	3228	0.0492	0.0536	0.0044
30	12	303	3228	0.0492	0.0536	0.0044
30	13	303	3228	0.0492	0.0536	0.0044
30	14	303	3228	0.0492	0.0536	0.0044
30	15	303	3228	0.0492	0.0536	0.0044
30	16	303	3228	0.0492	0.0536	0.0044
30	17	303	3228	0.0492	0.0536	0.0044
30	18	303	3228	0.0492	0.0536	0.0044
30	19	303	3228	0.0492	0.0536	0.0044
30	20	303	3228	0.0492	0.0536	0.0044
30	21	303	3228	0.0492	0.0536	0.0044
30	22	303	3228	0.0492	0.0536	0.0044
30	23	303	3228	0.0492	0.0536	0.0044
30	24	303	3228	0.0492	0.0536	0.0044
30	25	303	3228	0.0492	0.0536	0.0044
30	26	303	3228	0.0492	0.0536	0.0044
30	27	303	3228	0.0492	0.0536	0.0044
30	28	303	3228	0.0492	0.0536	0.0044
30	29	303	3228	0.0492	0.0536	0.0044
30	30	303	3228	0.0492	0.0536	0.0044
30	31	303	3228	0.0492	0.0536	0.0044
30	32	303	3228	0.0492	0.0536	0.0044
30	33	303	3228	0.0492	0.0536	0.0044
30	34	303	3228	0.0492	0.0536	0.0044
30	35	303	3228	0.0492	0.0536	0.0044
30	36	303	3228	0.0492	0.0536	0.0044
30	37	303	3228	0.0492	0.0536	0.0044
30	38	303	3228	0.0492	0.0536	0.0044
30	39	303	3228	0.0492	0.0536	0.0044
30	40	303	3228	0.0492	0.0536	0.0044
30	41	303	3228	0.0492	0.0536	0.0044
30	42	303	3228	0.0492	0.0536	0.0044
30	43	303	3228	0.0492	0.0536	0.0044
30	44	303	3228	0.0492	0.0536	0.0044
30	45	303	3228	0.0492	0.0536	0.0044
30	46	303	3228	0.0492	0.0536	0.0044
30	47	303	3228	0.0492	0.0536	0.0044
30	48	303	3228	0.0492	0.0536	0.0044
30	49	303	3228	0.0492	0.0536	0.0044
50	0	388	6484	0.0492	0.0536	0.0044
50	1	388	6484	0.0492	0.0536	0.0044
50	2	388	6484	0.0492	0.0536	0.0044
50	3	388	6484	0.0492	0.0536	0.0044
50	4	388	6484	0.0492	0.0536	0.0044
50	5	388	6484	0.0492	0.0536	0.0044
50	6	388	6484	0.0492	0.0536	0.0044
50	7	388	6484	0.0492	0.0536	0.0044
50	8	388	6484	0.0492	0.0536	0.0044
50	9	388	6484	0.0492	0.0536	0.0044
50	10	388	6484	0.0492	0.0536	0.0044
50	11	388	6484	0.0492	0.0536	0.0044
50	12	388	6484	0.0492	0.0536	0.0044
50	13	388	6484	0.0492	0.0536	0.0044
50	14	388	6484	0.0492	0.0536	0.0044
50	15	388	6484	0.0492	0.0536	0.0044
50	16	388	6484	0.0492	0.0536	0.0044
50	17	388	6484	0.0492	0.0536	0.0044
50	18	388	6484	0.0492	0.0536	0.0044
50	19	388	6484	0.0492	0.0536	0.0044
50	20	388	6484	0.0492	0.0536	0.0044
50	21	388	6484	0.0492	0.0536	0.0044
50	22	388	6484	0.0492	0.0536	0.0044
50	23	388	6484	0.0492	0.0536	0.0044
50	24	388	6484	0.0492	0.0536	0.0044
50	25	388	6484	0.0492	0.0536	0.0044
50	26	388	6484	0.0492	0.0536	0.0044
50	27	388	6484	0.0492	0.0536	0.0044
50	28	388	6484	0.0492	0.0536	0.0044
50	29	388	6484	0.0492	0.0536	0.0044
50	30	388	6484	0.0492	0.0536	0.0044
50	31	388	6484	0.0492	0.0536	0.0044
50	32	388	6484	0.0492	0.0536	0.0044
50	33	388	6484	0.0492	0.0536	0.0044
50	34	388	6484	0.0492	0.0536	0.0044
50	35	388	6484	0.0492	0.0536	0.0044
50	36	388	6484	0.0492	0.0536	0.0044
50	37	388	6484	0.0492	0.0536	0.0044
50	38	388	6484	0.0492	0.0536	0.0044
50	39	388	6484	0.0492	0.0536	0.0044
50	40	388	6484	0.0492	0.0536	0.0044
50	41	388	6484	0.0492	0.0536	0.0044
50	42	388	6484	0.0492	0.0536	0.0044
50	43	388	6484	0.0492	0.0536	0.0044
50	44	388	6484	0.0492	0.0536	0.0044
50	45	388	6484	0.0492	0.0536	0.0044
50	46	388	6484	0.0492	0.0536	0.0044
50	47	388	6484	0.0492	0.0536	0.0044
50	48	388	6484	0.0492	0.0536	0.0044
50	49	388	6484	0.0492	0.0536	0.0044
0	0	533	17331	0.0492	0.0536	0.0044
