domain	dist_lo	genera	pairs	micro_p	macro_p	ci_lo	ci_hi	q1	median	q3
Archaea	0.1300	4	225	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.1350	4	164	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.1400	5	276	0.996377	0.998230	0.994690	1.000000	1.000000	1.000000	1.000000
Archaea	0.1450	3	200	0.945000	0.932367	0.833333	1.000000	0.833333	0.963768	1.000000
Archaea	0.1500	5	414	0.753623	0.700321	0.304444	0.995876	0.522222	0.979381	1.000000
Archaea	0.1550	6	335	0.674627	0.561424	0.239130	0.887181	0.045455	0.689130	0.944828
Archaea	0.1600	10	567	0.477954	0.460316	0.213002	0.711848	0.071429	0.337500	0.869565
Archaea	0.1650	9	422	0.417062	0.391426	0.174214	0.617276	0.000000	0.285714	0.750000
Archaea	0.1700	15	908	0.243392	0.261384	0.097442	0.453363	0.000000	0.070175	0.446429
Archaea	0.1750	11	715	0.230769	0.215723	0.031729	0.450779	0.000000	0.015385	0.174603
Archaea	0.1800	19	1382	0.208394	0.157553	0.042703	0.301542	0.000000	0.000000	0.148649
Archaea	0.1850	23	1272	0.194969	0.166832	0.049858	0.308871	0.000000	0.000000	0.260870
Archaea	0.1900	38	2918	0.109321	0.073302	0.022563	0.141207	0.000000	0.000000	0.050473
Archaea	0.1950	40	2902	0.067884	0.039776	0.003159	0.098175	0.000000	0.000000	0.000000
Archaea	0.2000	56	5878	0.040490	0.035177	0.006187	0.077185	0.000000	0.000000	0.000000
Archaea	0.2050	49	4445	0.016423	0.025852	0.003109	0.061991	0.000000	0.000000	0.000000
Archaea	0.2100	67	12717	0.003381	0.011931	0.000251	0.033860	0.000000	0.000000	0.000000
Archaea	0.2150	62	9675	0.000827	0.004414	0.000000	0.013036	0.000000	0.000000	0.000000
Archaea	0.2200	73	21702	0.001244	0.008812	0.000010	0.025707	0.000000	0.000000	0.000000
Archaea	0.2250	69	15042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Archaea	0.2300	76	33186	0.000271	0.000893	0.000000	0.002654	0.000000	0.000000	0.000000
Archaea	0.2350	78	25168	0.000238	0.000358	0.000000	0.001017	0.000000	0.000000	0.000000
Archaea	0.2400	81	40346	0.000273	0.000471	0.000000	0.001412	0.000000	0.000000	0.000000
Archaea	0.2450	79	21949	0.000228	0.000258	0.000000	0.000773	0.000000	0.000000	0.000000
Archaea	0.2500	85	36100	0.000499	0.006611	0.000000	0.019692	0.000000	0.000000	0.000000
Archaea	0.2550	83	23155	0.000864	0.008390	0.000000	0.025120	0.000000	0.000000	0.000000
Archaea	0.2600	88	32614	0.001901	0.009744	0.000161	0.028187	0.000000	0.000000	0.000000
Archaea	0.2650	71	9172	0.002181	0.009122	0.000000	0.027367	0.000000	0.000000	0.000000
Archaea	0.2700	79	16531	0.003509	0.006831	0.000000	0.020429	0.000000	0.000000	0.000000
Archaea	0.2750	78	13235	0.008538	0.028831	0.000000	0.065544	0.000000	0.000000	0.000000
Archaea	0.2800	58	5400	0.006852	0.008584	0.000000	0.025555	0.000000	0.000000	0.000000
Archaea	0.2850	76	9846	0.010461	0.015785	0.000797	0.034931	0.000000	0.000000	0.000000
Archaea	0.2900	55	5712	0.008053	0.014466	0.000000	0.034805	0.000000	0.000000	0.000000
Archaea	0.3000	60	9079	0.004075	0.013713	0.001333	0.031704	0.000000	0.000000	0.000000
Archaea	0.3050	67	17938	0.000836	0.002406	0.000000	0.007218	0.000000	0.000000	0.000000
Archaea	0.3100	77	35967	0.000361	0.001122	0.000000	0.003282	0.000000	0.000000	0.000000
Archaea	0.3200	99	76553	0.000091	0.000488	0.000000	0.001463	0.000000	0.000000	0.000000
Archaea	0.3250	113	154992	0.000032	0.000285	0.000000	0.000856	0.000000	0.000000	0.000000
Archaea	0.3350	119	313713	0.000003	0.000105	0.000000	0.000315	0.000000	0.000000	0.000000
Archaea	0.3500	149	633727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Archaea	0.3700	187	1315463	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
